ride an elephant,jackalope
Buy a new saxophone,jackalope
Make a game in java,ifrit
Be in the background of a Christmas Hallmark,thunderbird
Graduate :),Fenrir
Climb more,thunderbird
Be in the background of a Christmas Hallmark,thunderbird
Grow a beard and graduate high school,warg
Make a minecraft mod.,thunderbird
Party hard in college,mogwai
understand more code,ifrit
graduate high school,thunderbird
Go and see the Northern Lights with my family.,jackalope
learn linux.,Kelpie
More sleep,Al-mi'raj
buy 5 more alexas,Xingtian
visit my aunt and uncles horse ranch again in California.,qilin
Learn the process of copyright relating to what you create. Also building games.,Fenrir
Get a better score on act,ouroboros
go on a Mission,Betobeto-san
go to college,zorigami
Learn Kali Linux,encantado
Make art using programming.,mogwai
Possibly do more hands-on work,Al-mi'raj
finish writing a book.,ifrit
Be more active socially and physically,thunderbird
Buy More Ducks,thunderbird
Make art using programming.,mogwai
I want to go rock climbing.,huli jing
Learn Kali Linux,encantado
I wish to be paid once for a piece of art that I have drawn,roc
not die,drop bear
graduate highschool,thunderbird
Do a backflip,Nundu
Learn how to improvise when cooking.,warg
Learn recipes from my mom and cook stuff,ifrit
program music? I'm not sure. I like programming new things and I get bored of old ways quickly. Though to be honest anything will suffice.,Fenrir
Drive 100 miles,thunderbird
Graduate High School,Luduan
Make Varsity Soccer,thunderbird
innovate,ifrit
skydive and go on a road trip,Xingtian
Drive 100 miles,thunderbird
I wanna be the very best Like no one ever was To catch them is my real test To train them is my cause  I will travel across the land Searching far and wide Each pokemon to understand The power that's inside  Pokemon! it's you and me I know it's my destiny Pokemon! Oh you're my best friend In a world we must defend Pokemon! a heart so true Our courage will pull us through You teach me and I'll teach you Pokemon! gotta catch'em all  Every challenge along the way With courage I will face. I will battle every day To claim my rightful place. Come with me The time is right There's no better team. Arm in arm we'll win the fight! It's always been our dream!,jackalope
get a good coding job,ifrit
get a 34 on the act,Yacumama
innovate solutions for current problems and potential problems in the future,ifrit
be able to create a sub-complex game,thunderbird
find a career that I would like to persue,Camazotz
visit my aunt and uncles horse ranch again in California.,qilin
Go out of the country,Squonk
Do a backflip,Nundu
Get above a 3.7 GPA,encantado
Build an iOS app that connects to the internet. ,encantado
I want to go to California,mogwai
Finish the Xcode star wars game thing,jackalope
Get good grades,mogwai
ride an elephant,jackalope
Find and internship/Job for programming in a language we are learning,ouroboros
Create an app to help people with Depression and other mental problems so they can get help even if their parents don't understand.,Nundu
run a 5:29 mile,thunderbird
Have a small class party. Just to bring cookies watch a movie maybe everyone have some bundt cakes popcorn. (Assigned people per row so you don't have to use this year's salary.) Maybe finding nemo/dory or rise of the planet of the APES!!! :D Something like that. Class activities like tug of war? Board games? Lots of food? ehh....,Nundu
Write a song,zorigami
Graduate,thunderbird
Exercise,unicorn
Read more in 2018,thunderbird
I want to be become proficient in Java.,drop bear
Ride a motorcycle,Fenrir
Graduate,thunderbird
Get a better score on act,ouroboros
make a basic game,thunderbird
Finish the Half Life series,ifrit
Go to college.,Fenrir
C##,Squonk
make a basic game,thunderbird
I want to do another group project. I feel like I learn better when I have a group to help me understand code.,jackalope
Visit Japan,Nundu
Party hard in college,mogwai
Graduate Highschool,Fenrir
get a 34 on the act,Yacumama
Run the circumference of the earth,jackalope
travel throughout Europe,qilin
Join a Human Rights Organization,Al-mi'raj
Be more active socially and physically,thunderbird
Go to College,thunderbird
Write a song,zorigami
Build an iOS app that connects to the internet.,encantado
Go to college.,thunderbird
Make a minecraft mod.,thunderbird
I wish to be paid once for a piece of art that I have drawn,roc
Make my rePSYCHle app.,huli jing
Drive a car fast; really fast,unicorn
Graduate and go to college,jackalope
Have my pc built and completed.,roc
understand more code,ifrit
not die,drop bear
Get more work done,drop bear
Sky dive,drop bear
program music? I'm not sure. I like programming new things; and I get bored of old ways quickly. Though to be honest anything will suffice.,Fenrir
Become more proficient in Java and Swift.,warg
I want to learn about the fundamentals of Microsoft C++,unicorn
Graduate :),Fenrir
Have my pc built and completed. ,roc
"Watch ""Han Solo: A Star Wars Story"" in May",mogwai
be less rich,Luduan
drive my moms tesla,Kelpie
Learn more about data encryption and how we use it.,ouroboros
go to college,zorigami
Understand placement of code,Squonk
get a good coding job,ifrit
I want to do another group project. I feel like I learn better when I have a group to help me understand code.,jackalope
Be more active both physically and socially,Squonk
Get above a 3.7 GPA,encantado
get a good score on the ACT,jackalope
Drive a car fast... really fast,unicorn
Stargaze,huli jing
get more fit,roc
Get some bape,Betobeto-san
Go to college.,Fenrir
I want to go rock climbing.,huli jing
Get to grand champion on battlerite,Fenrir
Go and see the Northern Lights with my family.,jackalope
Skydive,unicorn
Be more active both physically and socially,Squonk
learn SQL/PHP,Squonk
Skydive,unicorn
graduate highschool,thunderbird
Go to college.,thunderbird
finish writing a book. ,ifrit
I want to be become proficient in Java.,drop bear
program a platformer.,Squonk
skydive and go on a road trip,Xingtian
learn how to speak read and write in mandarin,qilin
Buy a new saxophone,jackalope
Sky dive,drop bear
innovate solutions for current problems and potential problems in the future,ifrit
learn linux.,Kelpie
I want to go to California,mogwai
get a good score on the ACT,jackalope
innovate,ifrit
The most interesting thing to me is knowing what it takes to make a video game; so I guess just coding more video games.,Fenrir
talk to and see my friend who hasn't been home for a while.,thunderbird
Understand what is happening in this class,Fenrir
Understand placement of code,Squonk
Learn how to make a game similar to Frogger.,Squonk
take my millions out of crypto.,Xingtian
Learn how to make a game similar to Frogger.,Squonk
get good grades and pass my certs,Al-mi'raj
Go out of the country,Squonk
Learn to code something that would apply to a job,thunderbird
Buy sonic again,Betobeto-san